targetTitle,targetIndex,topTitle,similarity
청도소싸움미디어체험관,21,"청도프로방스, 청도소싸움경기장, 평창돌문화체험관, 평창돌문화체험관, 청도군자전거공원캠핑장, 부평안전체험관, 대가야생활촌, 부례관광지, 가은역꼬마열차, 문경오미자테마터널, 보문관광단지, 주왕산","[(375, 0.41582776438388713), (205, 0.4026484203103018), (236, 0.3751905640824368), (121, 0.37251406405508725), (204, 0.36796549681138757), (407, 0.34925773546515126), (287, 0.29856757213363183), (289, 0.29856757213363183), (303, 0.29856757213363183), (304, 0.29856757213363183), (85, 0.29140674787128656), (156, 0.20299871348690957)]"
풍암생활체육공원,22,"쌍암공원, 광주시민의숲, 5.18자유공원, 배알도수변공원, 5.18기념공원, 빛고을농촌테마공원, 순천만국가정원, 암남공원, 마한문화공원, 정양레포츠공원, 미사경정공원, 안성맞춤랜드","[(10, 0.5907377361635717), (35, 0.5907377361635717), (38, 0.5907377361635717), (106, 0.42057974399969766), (15, 0.41405673600962073), (65, 0.41405673600962073), (87, 0.4088879716529492), (207, 0.4055576764720914), (30, 0.40124313255846744), (277, 0.39973360493990456), (251, 0.393454389325523), (396, 0.393454389325523)]"
운천저수지,23,"운암제, 회산 백련지, 수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 평화공원, 전평제근린공원, 문화근린공원, 용봉초록습지, 송산근린공원","[(51, 0.5583821998435691), (178, 0.2538857500040716), (72, 0.21334916152022315), (78, 0.21334916152022315), (117, 0.21334916152022315), (1, 0.2077312215436519), (9, 0.2077312215436519), (14, 0.2077312215436519), (39, 0.2077312215436519), (49, 0.2077312215436519), (50, 0.2077312215436519), (62, 0.2077312215436519)]"
해병대사령부초대교회,24,"용산신학교, 순교성지새남터기념성당, 순교성지새남터기념성당, 순교성지새남터기념성당, 구용산수위관측소, 당고개순교성지, 용산공예관, 동빙고부군당, 서빙고동 부군당, 목포중앙교회, 구암근린공원, 양천고성지","[(4, 0.43108780967442906), (377, 0.42427875614525423), (378, 0.42427875614525423), (381, 0.42427875614525423), (5, 0.41970336227262106), (3, 0.4128926574329098), (363, 0.4105725669374778), (380, 0.3993458862785094), (379, 0.34252119232781014), (260, 0.32765077386463826), (372, 0.22065572111583204), (366, 0.21739508954929282)]"
화암동굴,25,"아우라지, 초당동굴, 평창백룡동굴, 광양와인동굴, 초당동굴, 평창백룡동굴, 용연동굴, 태백고생대자연사박물관, 화진포해양박물관, 철암탄광역사촌, 한반도섬, 청평사계곡","[(42, 0.43921365092152664), (231, 0.41109325937430463), (235, 0.4087683370681995), (326, 0.2801473017301418), (98, 0.2681628809815734), (110, 0.26667162519529664), (264, 0.2637643734673772), (187, 0.18690927260872692), (256, 0.18690927260872692), (186, 0.18494095748322265), (240, 0.18424161499175942), (238, 0.18365599904936322)]"
소촌아트팩토리,26,"수완호수공원, 별밤미술관in운남, 송정작은미술관, 월봉서원, 별밤미술관 in수완, 별밤미술관 in 첨단, 알렉산더 로마노프스키 피아노 콘서트 [대전], 수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원","[(383, 0.40918155448816323), (29, 0.3866178889807803), (384, 0.3866178889807803), (382, 0.35880175996194447), (28, 0.33559202426265633), (27, 0.31357060558740096), (1356, 0.20654429339151956), (72, 0.1847925580705273), (78, 0.1847925580705273), (117, 0.1847925580705273), (1, 0.17992657457211608), (9, 0.17992657457211608)]"
별밤미술관 in 첨단,27,"별밤미술관 in수완, 별밤미술관in운남, 송정작은미술관, 광주시립미술관, 수완호수공원, 소촌아트팩토리, 월봉서원, 광주시립미술관 하정웅미술관, 전남도립미술관, 그림책미술관, 남원시립김병종미술관, 수완호수공원","[(28, 0.6791854770079089), (29, 0.517064167387649), (384, 0.517064167387649), (71, 0.372218714190669), (383, 0.3471339474921976), (26, 0.31357060558740096), (382, 0.30439366080061353), (70, 0.3032382125890619), (325, 0.23051326303758876), (402, 0.21126125310976904), (371, 0.20743591482228757), (72, 0.15677092343628352)]"
별밤미술관 in수완,28,"별밤미술관 in 첨단, 별밤미술관in운남, 송정작은미술관, 광주시립미술관, 수완호수공원, 소촌아트팩토리, 월봉서원, 광주시립미술관 하정웅미술관, 전남도립미술관, 그림책미술관, 남원시립김병종미술관, 수완호수공원","[(27, 0.6791854770079089), (29, 0.5533765203605491), (384, 0.5533765203605491), (71, 0.3983588689051174), (383, 0.37151245063601057), (26, 0.33559202426265633), (382, 0.32577060151872433), (70, 0.3245340085558128), (325, 0.24670173537874102), (402, 0.22609769639141647), (371, 0.2220037124639991), (72, 0.1677806229412154)]"
별밤미술관in운남,29,"송정작은미술관, 별밤미술관 in수완, 별밤미술관 in 첨단, 광주시립미술관, 수완호수공원, 소촌아트팩토리, 월봉서원, 광주시립미술관 하정웅미술관, 전남도립미술관, 그림책미술관, 남원시립김병종미술관, 수완호수공원","[(384, 0.6375159319813801), (28, 0.5533765203605491), (27, 0.517064167387649), (71, 0.45892826354039773), (383, 0.4279999195766163), (26, 0.3866178889807803), (382, 0.3753031453232406), (70, 0.3738785317261214), (325, 0.28421207074150795), (402, 0.2604752430404942), (371, 0.25575877986763723), (72, 0.19329121541530983)]"
마한문화공원,30,"배알도수변공원, 순천만국가정원, 한국차문화공원, 전라남도농업박물관, 성기동관광지, 쌍암공원, 풍암생활체육공원, 광주시민의숲, 5.18자유공원, 암남공원, 정양레포츠공원, 미사경정공원","[(106, 0.4599775811547643), (87, 0.44719058120958055), (250, 0.4282741002511859), (225, 0.41875199298059657), (385, 0.412689635011588), (10, 0.40124313255846744), (22, 0.40124313255846744), (35, 0.40124313255846744), (38, 0.40124313255846744), (207, 0.35041496700557273), (277, 0.3453827805813323), (251, 0.3399573349296192)]"
