title,openDate,finalDate,info,image,categoryName,category
이시현 귀국 피아노독주회,2023.11.25,2023.11.25,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF228341_231023_095410.gif,서양음악(클래식),공연 전시
"재즈 앳 영화의전당, 시네마틱 재즈 나잇 with 재즈오케스트라 [부산]",2023.12.17,2023.12.17,(재)영화의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228340_231023_095156.jpg,콘서트,공연 전시
"재즈 앳 영화의전당, 쇼팽 in 뉴욕: 클래시컬 재즈 나잇 [부산]",2023.12.16,2023.12.16,(재)영화의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228338_231023_094653.jpg,콘서트,공연 전시
호두까기 인형 [강동],2023.12.29,2023.12.30,강동구민회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228337_231023_094307.jpg,뮤지컬,공연 전시
조용필 & 위대한탄생 Tour Concert [광주],2023.12.02,2023.12.02,김대중컨벤션센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228336_231023_093955.gif,콘서트,공연 전시
두 여자 [광주],2023.11.23,2024.01.01,유스퀘어 문화관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228331_231020_173130.gif,연극,공연 전시
"그림 읽어주는 베토밴, 세계명작극장: 빨강머리 앤",2023.11.18,2023.11.18,대원 팝콘D 스퀘어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228328_231020_172457.gif,서양음악(클래식),공연 전시
"제1회 SC브라이트 투피아노 시리즈, Piano Forest: 쉼",2023.11.17,2023.11.17,롯데콘서트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228326_231020_172235.gif,서양음악(클래식),공연 전시
빨간모자와 늑대 [제천],2023.12.16,2023.12.16,제천시문화회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228324_231020_171653.gif,뮤지컬,공연 전시
헨젤과 그레텔의 과자 콘서트 [청주],2023.10.23,2023.12.15,오즈아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228323_231020_171612.gif,뮤지컬,공연 전시
Ensemble FOC 연주회 (11.26),2023.11.26,2023.11.26,거암아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228322_231020_171201.gif,서양음악(클래식),공연 전시
제23회 국립국악고등학교 개교 68돌 기념 목멱한마당,2023.11.22,2023.11.22,국립국악원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228319_231020_164113.jpg,한국음악(국악),공연 전시
블록버스터 & 히사이시 조 영화음악 콘서트 [인천],2023.12.16,2023.12.16,아트센터 인천,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228314_231020_162923.gif,서양음악(클래식),공연 전시
호두까기인형 [파주],2023.12.17,2023.12.17,파주운정행복센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228304_231020_161009.gif,뮤지컬,공연 전시
베니 싱스 내한공연,2023.11.29,2023.11.29,현대카드 언더스테이지,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228303_231020_160620.gif,콘서트,공연 전시
임영웅 콘서트: IM HERO TOUR [부산],2023.12.08,2023.12.10,벡스코 (BEXCO),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228300_231020_155422.gif,콘서트,공연 전시
"베이스 연광철, 한국가곡 독창회",2023.12.03,2023.12.03,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF228299_231020_155402.gif,서양음악(클래식),공연 전시
김장훈 연말 콘서트: 종합선물세트,2023.12.01,2023.12.24,한국콘텐츠진흥원 CKL스테이지,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228298_231020_154143.gif,콘서트,공연 전시
"쇼맨, 어느 독재자의 네 번째 대역배우 [대구]",2023.12.08,2023.12.09,대구문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228297_231020_154128.jpg,뮤지컬,공연 전시
"국립발레단, 호두까기인형 [경기 광주]",2023.12.04,2023.12.05,남한산성아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228293_231020_151759.gif,무용,공연 전시
호두까기 인형 [부산 영도],2023.11.17,2023.11.17,영도문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228288_231020_145749.jpg,무용,공연 전시
"정준일 콘서트, Stay with me",2023.11.18,2023.11.18,인천동구문화체육센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228286_231020_145455.gif,콘서트,공연 전시
공룡 애니멀 쇼 [파주],2023.12.30,2023.12.30,파주운정행복센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228285_231020_145258.jpg,서커스/마술,공연 전시
더 시네마 & 클래식 with 또모 Vol.4 [수원],2023.11.19,2023.11.19,경기아트센터(구. 경기도문화의전당),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228284_231020_144832.gif,서양음악(클래식),공연 전시
"찰리재즈퀄텟, ONLY FOR JAZZ [대구]",2023.11.24,2023.11.24,에이치아츠(H-Art),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228279_231020_143530.gif,콘서트,공연 전시
안산시립예술단 특별기획공연: 목요보노음악회,2023.10.19,2023.12.14,보노마루,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228273_231020_142313.jpg,서양음악(클래식),공연 전시
터치드(TOUCHED) 콘서트 [울산],2023.12.09,2023.12.09,울산중구문화의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228272_231020_142110.jpg,콘서트,공연 전시
"크리스피 단독 콘서트, Neighborhood",2023.11.17,2023.11.17,롤링홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228271_231020_141651.jpg,콘서트,공연 전시
"BAC 크리스마스 기획공연, 체코 보니푸에리 소년합창단",2023.12.16,2023.12.16,부천아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228270_231020_141303.jpg,서양음악(클래식),공연 전시
2호선 세입자 [대구],2023.11.22,2024.01.07,송죽씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228269_231020_141133.gif,연극,공연 전시
"BAC 크리스마스 가족공연, 행복의 파랑새",2023.12.22,2023.12.22,부천아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228268_231020_140719.jpg,서양음악(클래식),공연 전시
어린이 스토리 마술쇼 [광주],2023.12.30,2023.12.31,서빛마루문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228265_231020_135719.gif,서커스/마술,공연 전시
아메리칸 버팔로,2023.11.21,2023.12.10,연우소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228264_231020_134857.gif,연극,공연 전시
이승철 전국투어 콘서트: RETRO Night [진주],2023.12.17,2023.12.17,경상남도문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228262_231020_134519.gif,콘서트,공연 전시
친절한 돼지씨 [대구],2023.11.18,2023.11.18,어울아트센터(구. 대구북구문예회관),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228261_231020_133817.jpg,한국음악(국악),공연 전시
제비씨의 크리스마스,2023.12.08,2023.12.09,금나래아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228259_231020_133710.gif,뮤지컬,공연 전시
빨간코 루돌프와 산타크로스 [목포],2023.12.24,2023.12.24,목포문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228258_231020_133106.gif,뮤지컬,공연 전시
"정명훈 & 원 코리아 오케스트라, 베토벤 합창",2023.12.31,2023.12.31,롯데콘서트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228256_231020_132735.jpg,서양음악(클래식),공연 전시
오즈의 마법사 [미아],2023.11.16,2023.11.19,현대백화점 문화홀 [미아],http://www.kopis.or.kr/upload/pfmPoster/PF_PF228255_231020_132517.jpg,뮤지컬,공연 전시
"M 송년시리즈, 호두까기 인형 [마포]",2023.12.15,2023.12.17,마포아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228252_231020_131806.gif,무용,공연 전시
백설공주 [미아],2023.11.23,2023.11.26,현대백화점 문화홀 [미아],http://www.kopis.or.kr/upload/pfmPoster/PF_PF228251_231020_131340.jpg,뮤지컬,공연 전시
미녀와 야수 [미아],2023.11.29,2023.12.03,현대백화점 문화홀 [미아],http://www.kopis.or.kr/upload/pfmPoster/PF_PF228248_231020_130852.jpg,뮤지컬,공연 전시
로젤 [대학로],2023.11.15,2023.11.26,소극장 혜화당(구. 까망소극장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228247_231020_130408.gif,연극,공연 전시
김필 콘서트: LIFE,2023.11.18,2023.11.19,블루스퀘어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228245_231020_130025.gif,콘서트,공연 전시
"대관령음악제 4色 콘서트, 카즈미 타테이시 트리오",2023.11.17,2023.11.17,강릉원주대학교 예술1호관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228243_231020_125238.gif,콘서트,공연 전시
